Berlin     5251 1340
Frankfurt  5011  864 
Leipzig    5133 1237 
Heidelberg 4941  867 
Karlsruhe  4901  840 
Hamburg    5356  998 
Bayreuth   4993 1159 
Trier      4974  668 
Hannover   5237  972 
Stuttgart  4874  909 
Passau     4856 1344 
Augsburg   4833 1089 
Koblenz    5033  759 
Dortmund   5148  741 
Bochum     5145  728 
Duisburg   5142  679 
Wuppertal  5124  715 
Essen      5145  701 
Jena       5093 1158 
Weimar     5098 1132 
Erfurt     5097 1103 
Rostock    5407 1211 
Bremen     5316  875 
Oldenburg  5314  817 
Giessen    5057  867 
Marburg    5080  881 
Erlangen   4957 1102 
Kiel       5433 1012 


